cost_type,sheet,cell_pos,factor_names,variable_type,SA_range_lower,SA_range_upper,best_point_value,range_lower,range_upper,discrete_values,UNC_distribution,is_cat,comments
deployment,Dashboard,K11,capex,output,0,0,0,1,2,,,FALSE,dummy lower and upper bounds
deployment,Dashboard,K6,opex,output,0,0,0,1,2,,,FALSE,dummy lower and upper bounds
deployment,Dashboard,D5,num_1yoec,integer,1000000,20000000,1000000,1000000,20000000,,unif,TRUE,"""Indicates target number of 1YOEC - automatically converts to the devices required to get the target number. For simulation costings these are dummy values"""
deployment,Dashboard,D12,daytrip,boolean,0,1,1,0,1,"0,1",discrete,TRUE,"""For simulation costings, these are dummy values"""
deployment,Dashboard,D22,coral_yield_1YOEC,incremental,0.15,0.6,0.3,0.15,0.6,"0.15,0.2,0.3,0.4,0.5,0.6",discrete,FALSE,Adopted value must match between production and deployment
deployment,Dashboard,D13,deck_space,integer,10,30,20,18,25,,unif,TRUE,
deployment,Dashboard,D16,distance_from_port,integer,1,119.99,27,27,54,"27.0,54.0",discrete,TRUE,"""in nautical miles - values only used for sensitivity analysis otherwise uses the calculated distance to deployed reefs. 30NM is the best guess as it is the maximum day trip distance. For simulation costings, these are dummy values"""
deployment,Lookup Tables,G17,ship_price_LTC,integer,6000,30000,11000,6000,30000,,logunif,FALSE,"If doing day trip, Large Tourism C seems to be a plausible ship-type. **LTC values only applicable for day trips** "
deployment,Lookup Tables,O17,ship_endurance_LTC,integer,1,10,3,2,7,,unif,TRUE,Endurance is not relevant for day trips. **LTC values only applicable for day trips**
deployment,Lookup Tables,G18,ship_price_LL,integer,6000,30000,11000,6000,30000,,logunif,FALSE,**Only applicable for overnight trips**
deployment,Lookup Tables,O18,ship_endurance_LL,integer,1,10,3,2,7,,unif,TRUE,"If doing overnight trips (Dashboard setting: Day trips = FALSE), use Large Liveaboard and ship endurance needs a sensitivity analysis. **Only applicable for overnight trips**"
deployment,Logistics,F84,secs_per_dev,incremental,0.1,3,1,0.5,1,"0.5,0.6,0.7,0.8,0.9,1.0",unif,FALSE,
deployment,Logistics,I84,proportion,incremental,0.5,1,0.5,0.5,1,"0.5,0.6,0.7,0.8,0.9,1.0",unif,FALSE,"proportion of reef substrate suitable for depeloyment, currently set to 0.5 in cost model (It's set to 0.5 because generally about half of a site we're running transects on will be reasonable to deploy corals to (not too deep, made of unstable sand, already covered in coral, or similar)."
deployment,Logistics,I83,bins_per_tender,integer,3,6,5,3,5,,unif,TRUE,
deployment,Logistics,D38,deployment_dur,integer,14,35,28,21,28,"21,28",discrete,TRUE,"seasonal window in days; if large # of devices, more than one ship and more equipment on each ship; shorter deployment period means more ships --> more equipment "
deployment,Logistics,I99,deployers_tender,integer,2,3,2,2,3,"2,3",discrete,TRUE,
deployment,Pricing,E16,cost_blank_device,incremental,0.1,5,3,0.3,3,"0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0",discrete,FALSE,long-term average
